Title,Price,Reviews,Number_of_Reviews,Date
"Samsung Galaxy Buds2 Pro, Bluetooth Truly Wireless in Ear Earbuds with Noise Cancellation (Graphite)","17,990.00",4.5,11,2022-09-14
"Samsung Galaxy Buds2 Pro, Bluetooth Truly Wireless in Ear Earbuds with Noise Cancellation (Graphite)","17,990.00",4.5,11,2022-09-14
